AHBA_acro,ROI,Full_name,structureOrder, PV_M_mean , PV_M_SD , PV_F_mean , PV_F_SD , SST_M_mean , SST_M_SD , SST_F_mean , SST_F_SD , VIP_M_mean , VIP_M_SD , VIP_F_mean , VIP_F_SD , SSTCR_mean , SSTCR_SD , SSTnNOS_mean , SSTnNOS_SD , VIPCR_mean , VIPCR_SD , VIPCCK_mean , VIPCCK_SD 
,FLgr,"Flocculus, granular layer",62500,30483.35,10006.61,29684.04,9756.64,715.54,142.96,799.06,254.83,17.78,8.33,31.55,15.78,602.77,373.71,1.35,1.41,0.52,0.67,0,0
,CBN,Cerebellar nuclei,62900,10043.73,2136.67,8798.2,3709.32,372.56,201.22,502.63,184.46,5.05,4.34,9.51,8.15,36.32,23.73,0,0,0,0,0.29,0.51
,FN,Fastigial nucleus,63000,5419.49,1978.39,4926.72,2743.1,445.57,291.34,603.71,230.8,5.28,5.1,11.96,10.83,63.78,54.8,0,0,0,0,0,0
,IP,Interposed nucleus,63100,11511.01,2351.48,9759.94,4448.78,421.8,251.01,580.14,222.31,1.82,1.87,3.82,3.62,17.72,13.34,0,0,0,0,0,0
,DN,Dentate nucleus,63200,13549.82,2270.27,12445.42,3625.79,175.1,14,214.15,80.73,10.8,12.42,16.99,13.85,31.89,31.67,0,0,0,0,1.23,2.13
,BS,Brain stem,63300,3113.04,700.05,2939.49,846.72,6598.33,1619.23,7904.83,1198.78,103.7,15.83,142.12,27.31,296.94,117.64,9.34,7.55,2.15,0.43,2.6,3.91
,IB,,63400,1585.65,318.55,1491.65,477.4,5069.6,869.16,5849.59,657.71,53.7,4.59,65.69,13.12,259.07,79.01,3.47,2.7,3.94,1.01,5.6,9.08
,TH,Thalamus,63500,2072.5,394.89,1857.8,617.85,3889.12,936.57,4560.26,646.56,2.96,0.3,4.54,2.2,137.72,50.91,1.96,1.25,0.21,0.1,0.2,0.18
,DORsm,"Thalamus, sensory0motor cortex related",63600,972.9,323.54,887.23,428.9,2409.93,879.68,2560.38,328.24,1.61,0.38,1.95,0.41,140.78,53.79,2.07,2.1,0.06,0.12,0.37,0.65
,VENT,Ventral group of the dorsal thalamus,63700,1361.47,447.6,1220.82,585.38,2593.56,1157.66,2647.19,415.41,0.57,0.19,1.45,0.96,46.03,21.84,0.44,0.76,0.08,0.17,0.53,0.92
,VAL,Ventral anterior0lateral complex of the thalamus,63800,1795.97,265.71,1476.11,472.29,3428.79,2046.24,3503.97,690.67,0.29,0.66,1.42,2.01,9.04,6.63,0,0,0,0,0.41,0.71
,VM,Ventral medial nucleus of the thalamus,63900,100.01,23.03,101.58,62.07,8350.24,1171.69,9125.3,805.47,0.98,1.34,2.48,3.07,94.48,25.14,2.21,3.83,0.55,1.1,0,0
,VP,Ventral posterior complex of the thalamus,64000,1485.64,631.22,1384.82,767.02,802.43,744.92,662.29,236.3,0.6,0.43,1.22,1.12,49.78,30.65,0.18,0.32,0,0,0.74,1.29
,VPL,Ventral posterolateral nucleus of the thalamus,64100,1359.49,538.77,1117.57,612.61,1780.8,1803.64,1438.53,569.54,0.29,0.65,1.2,1.94,96.7,63.85,0,0,0,0,0.92,1.6
,VPLpc,"Ventral posterolateral nucleus of the thalamus, parvicellular part",64200,100.62,101.19,80.25,80.75,97.05,37.75,101.8,46.4,0,0,4.2,9.39,37.23,40.33,0,0,0,0,6.03,10.45
,VPM,Ventral posteromedial nucleus of the thalamus,64300,1647.54,762.47,1639.06,910.92,164.19,72.97,149.34,51.59,0.85,0.89,1.08,1.08,17.58,8.39,0.32,0.56,0,0,0.33,0.57
,VPMpc,"Ventral posteromedial nucleus of the thalamus, parvicellular part",64400,38.23,22.4,74.21,33.13,321.99,94.56,314.98,46.38,5.8,8.58,0,0,138.41,62.12,0,0,0,0,0,0
,SPF,Subparafascicular nucleus,64500,203.05,89.95,260.34,111.09,6124.89,365.75,7400.33,564.35,6.22,5.02,0,0,1085.88,424.58,22.22,31.73,0,0,0,0
,SPFm,"Subparafascicular nucleus, magnocellular part",64600,80.16,50.24,79.25,54.5,11315.57,987.4,13176.95,889.23,22,21.7,0,0,1478.05,621.46,0,0,0,0,0,0
,SPFp,"Subparafascicular nucleus, parvicellular part",64700,232.15,100.93,304.3,128.51,4808.08,221.78,5901.97,713.37,2.2,3.01,0,0,987.63,487.42,27.84,39.78,0,0,0,0
,SPA,Subparafascicular area,64800,10.65,14.59,15.13,22.37,9341.88,1173.46,11073.64,667.13,0,0,11.34,15.53,2457.59,1161.55,27.4,27.62,0,0,0,0
,PP,Peripeduncular nucleus,64900,272.56,53.05,313.38,195.94,6724.21,2080.63,8193.43,1294.71,0,0,3.17,7.09,796.48,244.48,0,0,0,0,0,0
,GENd,"Geniculate group, dorsal thalamus",65000,100.33,54.22,104.72,56.72,385.81,153.87,410.38,54.04,3.77,1.13,3.52,1.69,56.03,31.62,1.33,1.15,0,0,0,0
MG,MG,Medial geniculate complex,65100,81.02,37.45,80.19,34.41,241.69,122.02,218.19,66.5,5.14,2.91,4.21,3.33,55.82,33.3,2.46,2.13,0,0,0,0
,MGd,"Medial geniculate complex, dorsal part",65200,45.32,18.53,62.27,20.28,235.34,73.81,203.76,108.48,1.6,3.57,1.63,3.65,28.2,23.16,0,0,0,0,0,0
,MGv,"Medial geniculate complex, ventral part",65300,52.02,23.27,34.57,19.72,181.52,167.8,157.79,70.52,8.12,5.86,3.96,2.81,40.34,12.35,3.4,3.32,0,0,0,0
,MGm,"Medial geniculate complex, medial part",65400,196.29,116.74,213.83,104.62,401.41,222.68,387.78,139.52,1.97,4.41,8,8.34,128.91,127.48,2.99,5.18,0,0,0,0
LGd,LGd,Dorsal part of the lateral geniculate complex,65500,124.25,77.54,135,84.85,551.6,259.09,629.17,73.52,2.18,3.07,2.74,1,56.1,38.6,0,0,0,0,0,0
,DORpm,"Thalamus, polymodal association cortex related",65600,2883.37,514.85,2581.29,802.87,4817.96,985.56,5840.82,854.2,3.65,0.68,5.5,3.51,136.55,47.7,1.94,0.86,0.28,0.21,0.12,0
DTP,LAT,Lateral group of the dorsal thalamus,65700,225.67,86.21,241.03,83.69,556.58,96.01,649.02,173.91,1.32,1.05,0.93,0.58,21.71,10.51,0.61,1.06,0.15,0.31,0.22,0.38
,LP,Lateral posterior nucleus of the thalamus,65800,106.46,43.91,108.82,31.89,410.97,68.45,495.65,103.55,2.15,1.74,0.6,0.82,5.12,1.69,0,0,0,0,0,0
,PO,Posterior complex of the thalamus,65900,244.79,80.59,255.43,93.25,286.67,64.3,358.42,81.53,0.84,1.26,0.84,1.25,5.03,4.22,0,0,0.33,0.66,0.46,0.8
,POL,Posterior limiting nucleus of the thalamus,66000,840.97,395.35,956.12,290.21,3755.58,813.72,4091.48,1471.13,0,0,2.39,5.35,243.73,121.07,10.17,17.62,0,0,0,0
,SGN,Suprageniculate nucleus,66100,273.71,149.31,319.38,237.77,694.9,141.09,733.82,394.05,0,0,3.22,7.2,64.45,35.36,0,0,0,0,0,0
DTA,ATN,Anterior group of the dorsal thalamus,66200,620,138.6,615.42,184.88,1082.09,438.28,1089.46,131.38,2.51,1.51,3.25,2.77,25.23,18.12,0.24,0.42,0.17,0.35,0,0
,AV,Anteroventral nucleus of thalamus,66300,905.34,114.17,933.55,333.54,1803.42,668.49,1648,221.07,5.12,9.41,7.35,3.39,73.49,44.29,0,0,0,0,0,0
,AM,Anteromedial nucleus,66400,448.51,41.32,485.56,114,1534.03,543.54,1442.1,202.27,2.02,1.85,2.78,4.52,30.49,35.41,1.08,1.87,0,0,0,0
,AMd,"Anteromedial nucleus, dorsal part",66500,463.47,39.43,467.63,99.26,824.65,120.95,927.57,119.78,0.9,2.02,3.54,5.79,2,2.32,0,0,0,0,0,0
,AMv,"Anteromedial nucleus, ventral part",66600,393.37,71.21,552.49,188.07,4241.53,2225.05,3382.44,856.33,6.21,8.51,0,0,135.56,159.08,5.01,8.67,0,0,0,0
,AD,Anterodorsal nucleus,66700,1792.85,707.14,1335.1,152.26,821.03,385.02,934.49,58.59,3.12,4.27,6.28,6.58,9.45,11.25,0,0,1.9,3.79,0,0
,IAM,Interanteromedial nucleus of the thalamus,66800,6.69,14.95,0,0,1476.66,497.53,1709.97,277.93,0,0,0,0,16.42,32.85,0,0,0,0,0,0
,IAD,Interanterodorsal nucleus of the thalamus,66900,3.63,8.13,15.08,20.67,1634.61,893.88,1722.93,477.61,0,0,8.47,11.6,0,0,0,0,0,0,0,0
,LD,Lateral dorsal nucleus of thalamus,67000,428.28,172.75,486.99,244.8,559.69,315.85,651.14,180.4,1.92,2.12,0.99,1.46,9.18,7.92,0,0,0,0,0,0
DTM,MED,Medial group of the dorsal thalamus,67100,130.41,32.68,133.75,26.49,2044.88,307.36,2247.68,190.55,1.99,1.4,3.23,2.51,56.27,21.03,0.33,0.57,0,0,0.29,0.51
,IMD,Intermediodorsal nucleus of the thalamus,67200,186.83,164.36,184.89,62.32,5678.68,623.96,5833.21,505.03,8.43,7.47,9.95,8.08,313.3,114.36,0,0,0,0,0,0
,MD,Mediodorsal nucleus of thalamus,67300,136.19,12.12,144.17,39.63,1472.67,317.07,1699.61,193.52,1.11,1.2,2.23,2.88,12.07,6.25,0.46,0.8,0,0,0.41,0.71
,MDc,"Mediodorsal nucleus of the thalamus, central part",67400,204.38,45.14,194.63,42.22,1099.27,391.44,1297.18,345.49,3.18,4.36,4.8,7.26,5.43,6.9,0,0,0,0,0,0
,MDl,"Mediodorsal nucleus of the thalamus, lateral part",67500,144.74,14.32,182.6,88.42,1683.29,271.56,2107.39,250.91,0.71,1.59,0.74,1.66,7.85,5.92,0,0,0,0,0,0
,MDm,"Mediodorsal nucleus of the thalamus, medial part",67600,102.93,14.5,92.73,18.83,1443.86,342.62,1524.02,248.46,0.65,1.44,2.46,5.5,18.16,7.79,1.02,1.77,0,0,0.9,1.57
,SMT,Submedial nucleus of the thalamus,67700,41.56,21.91,25.51,19.76,1180.43,188.85,1292.4,156.61,0,0,1.71,3.83,5.73,7.43,0,0,0,0,0,0
,PR,Perireunensis nucleus,67800,14.55,32.53,0,0,1971.78,954.41,2001.04,659.02,0,0,0,0,182.41,175.06,0,0,0,0,0,0
,MTN,Midline group of the dorsal thalamus,67900,248.39,146.41,215.77,80.84,5825.45,488.2,6454.22,366.14,8.47,3.81,9.16,7.64,438.16,96.14,9.95,3.38,0.95,1.32,0,0
,PVT,Paraventricular nucleus of the thalamus,68000,440.75,292.08,357.96,150.4,7019.72,216.51,8385.98,317.39,7.07,7.75,9.15,11.6,533.84,176.99,10.03,4.73,1.13,1.31,0,0
,PT,Parataenial nucleus,68100,147.9,171.27,172.57,60.92,3101.03,959.78,3224.67,498.18,0,0,6.13,8.93,55.71,30.86,6.21,10.76,4.48,8.96,0,0
,RE,Nucleus of reunions,68200,85.58,27.1,88.98,31.93,5239.36,781.37,5263.08,720.48,11.84,4.12,9.92,9.09,433.86,113.4,10.72,1.99,0,0,0,0
Ilr;Ilc,ILM,Intralaminar nuclei of the dorsal thalamus,68300,233.24,76.7,263.81,76.24,2774.92,67.85,3235.69,257.84,2.55,1.35,7.99,8.11,121.58,57.81,0.64,1.11,0.23,0.46,0,0
,RH,Rhomboid nucleus,68400,23.79,7.83,28.16,16.65,1096.11,176.99,1690.01,493.27,3.35,4.58,6.36,6.56,5.61,7.13,0,0,0,0,0,0
,CM,Central medial nucleus of the thalamus,68500,109.27,40.07,120.81,52.16,6611.47,383.78,7373.37,416.79,2.54,3.84,11.63,15.13,420.58,209.42,2.66,4.61,0,0,0,0
,PCN,Paracentral nucleus,68600,697.43,120.01,655.65,272.27,1500.76,207.73,2050.4,154.31,0,0,0,0,1.93,3.86,0,0,0,0,0,0
,CL,Central lateral nucleus of the thalamus,68700,570.19,203.41,654.36,66.14,635.59,87.71,766.49,220.39,2.29,3.13,6.02,10.39,9.52,15.59,0,0,0,0,0,0
,PF,Parafascicular nucleus,68800,96.66,64.3,149.78,81.48,2203.85,171.64,2520.06,257.9,3.27,2.9,9.56,9.24,50.95,30.86,0,0,0.64,1.29,0,0
,RT,Reticular nucleus of the thalamus,68900,17725.02,3275.32,15706.58,5324.64,19754.83,5479.03,25060.39,4856.05,1.11,1.19,3.24,1.86,153.38,77.01,0.89,0.85,0,0,0,0
,GENv,"Geniculate group, ventral thalamus",69000,2792.64,307.24,2751.84,602.48,7771.38,2938.91,9036.84,1304,11.74,5.42,19.11,11.09,349.84,180.43,3.23,3.81,1.2,2.4,0,0
,IGL,Intergeniculate leaflet of the lateral geniculate complex,69100,998.64,135.48,1152.42,779.12,4718.8,3090.99,5226,1434.07,6,8.22,9.4,13.91,613.09,401.54,0,0,0,0,0,0
,LGv,Ventral part of the lateral geniculate complex,69200,3251.44,389.89,3164.74,600.67,7642.34,2882.37,8904.65,1274.59,11.77,6.5,21.7,11.74,299.17,138.72,4.13,4.86,1.53,3.06,0,0
,SubG,Subgeniculate nucleus,69500,1683.56,425.41,1695.72,405.62,19878.27,3706.94,23515.79,4000.55,29.87,27.27,10.43,23.32,276.78,191.61,0,0,0,0,0,0
,EPI,Epithalamus,69600,460.32,182.94,422.15,109.22,2059.67,491.92,2426.26,419.24,10.81,5.45,14.76,5.39,209.67,125.05,1.83,3.17,0,0,0.83,1.45
,MH,Medial habenula,69700,407.25,135.02,370.18,93.26,2215.65,512.97,2542.37,516.65,15.58,8.43,14.46,6.28,303.35,185.53,4.28,7.41,0,0,0,0
,LH,Lateral habenula,69800,499.31,219.88,460.34,131.09,1941.72,495.73,2338.35,434.23,7.22,5.08,14.91,8.42,139.68,83.16,0,0,0,0,1.47,2.54
,HY,Hypothalamus,70000,905.03,230.51,978.14,348.99,6768.01,784.05,7678.54,731.17,124.93,11.55,150.2,28.91,418.3,113.92,5.37,4.57,8.73,2.25,11.73,19.09
,PVZ,Periventricular zone,70100,1271.84,380.49,1177.53,344.15,12259.45,933.91,12493.92,708.59,32.58,13.65,46.52,8.37,923.24,240.55,10.43,6.5,1.38,1.74,94.08,162.95
SO,SO,Supraoptic nucleus,70200,50.45,61.33,15.49,21.26,2398.91,811.14,2655.43,721.5,16.6,22.75,49.96,34.06,230.96,174.29,0,0,0,0,10.65,18.45
,ASO,Accessory supraoptic group,70300,0,0,0,0,2863.65,2818.18,5645.68,3662.41,0,0,0,0,0,0,0,0,0,0,0,0
,NC,Nucleus circularis,70400,0,0,0,0,2863.65,2818.18,5645.68,3662.41,0,0,0,0,0,0,0,0,0,0,0,0
PVH,PVH,Paraventricular hypothalamic nucleus,70500,0,0,813.97,227.26,10839.53,773.54,11723.1,645.39,63.91,22.88,79.19,33.87,1066.48,291.81,14.93,10.02,1.23,2.47,0,0
,PVHm,"Paraventricular hypothalamic nucleus, magnocellular division",70600,0,0,35.14,36.12,9218.69,1195.22,10938.33,1594.84,283.31,138.27,360.56,151.91,398.27,287.99,0,0,0,0,0,0
,PVHmm,"Paraventricular hypothalamic nucleus, magnocellular division, medial magnocellular part",70800,0,0,32.47,72.6,3815.3,636.1,4265.88,821.06,139.16,78.78,340.85,179.24,0,0,0,0,0,0,0,0
,PVHpm,"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part",70900,0,0,35.34,52.77,11287.04,1487.64,13549.2,2008.36,338.43,174.63,366.88,193.37,558.61,406.1,0,0,0,0,0,0
,PVHpml,"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, lateral zone",71000,0,0,12.96,28.99,12153.79,1685.57,14466.13,1495.8,346.56,206.03,319.44,173.43,603.68,432.46,0,0,0,0,0,0
,PVHpmm,"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, medial zone",71100,0,0,258.62,578.29,2757.88,1190.23,5389.9,8024.54,259.31,355.87,853.63,913.34,149.57,299.15,0,0,0,0,0,0
,PVHp,"Paraventricular hypothalamic nucleus, parvicellular division",71200,0,0,918.88,261.14,11054.45,816.69,11829.74,698.15,33.98,26.96,42.29,25.95,1156.41,301.32,16.92,11.35,1.4,2.81,0,0
,PVHap,"Paraventricular hypothalamic nucleus, parvicellular division, anterior parvicellular part",71300,0,0,16.93,20.1,8375.91,883.59,10008.15,802.55,24.35,20.99,15.44,21.02,986.94,225.4,7.86,6.81,2.99,5.99,0,0
,PVHmpd,"Paraventricular hypothalamic nucleus, parvicellular division, medial parvicellular part, dorsal zone",71400,0,0,123.51,52.72,11807.07,2118.54,13149.44,2060.35,64.08,74.9,111.1,49.9,790.5,303.52,13.13,22.75,0,0,0,0
,PVHpv,"Paraventricular hypothalamic nucleus, parvicellular division, periventricular part",71500,0,0,3730.91,1072.94,15614.87,1033.54,13881.21,1211.13,16.57,15.13,15.02,33.59,1933.27,547.83,39.25,13.71,0,0,0,0
PVa,PVa,"Periventricular hypothalamic nucleus, anterior part",71600,0,0,5314.2,2003.09,22370.86,2742.18,19485.34,3352.15,40.41,61.96,90.99,70.66,1442.08,218.69,39.09,33.85,29.05,58.09,0,0
PVa,PVi,"Periventricular hypothalamic nucleus, intermediate part",71700,0,0,2927.31,937.1,5393.45,999.28,4798.36,610.66,0,0,19.92,11.75,376.04,159.04,5.89,5.1,0,0,2.36,4.1
,ARH,Arcuate hypothalamic nucleus,71800,250.79,119.46,295.64,112.4,18659.04,1517.36,18914.39,1751.7,19.45,16.62,20.74,9.96,1163.92,311.23,7.31,8.47,0,0,268.76,465.51
,PVR,Periventricular region,71900,292.32,82.04,300.88,102.11,6620.19,212.33,7253.99,655.47,654.87,141.16,717.85,132.81,422.45,82.19,4.63,2.38,44.59,13.51,9.13,9.7
PrOR,ADP,Anterodorsal preoptic nucleus,72000,293.59,210.63,406.33,210.36,1313.49,431.09,1854.8,479.65,9.49,21.23,0,0,41.82,57.26,0,0,0,0,0,0
PrOR,AVP,Anteroventral preoptic nucleus,72200,102.13,146.15,106.47,40.72,1966.9,725.29,1640.17,338.01,7.34,16.42,31.05,31.63,8.87,17.74,0,0,0,0,0,0
,AVPV,Anteroventral periventricular nucleus,72300,82.73,97.56,45.59,50.51,2185.83,401.28,2502.99,438.61,7.96,17.79,46.33,50.65,71.17,24.54,0,0,0,0,0,0
,DMH,Dorsomedial nucleus of the hypothalamus,72400,86.9,29.48,96.92,29.56,11866.86,801.94,12581.66,667.73,21.25,15.23,37.94,27.57,1109.71,258.4,1.04,1.81,0,0,0,0
,DMHa,"Dorsomedial nucleus of the hypothalamus, anterior part",72500,123.86,43.47,130.52,38.11,9589.68,573.74,9897.59,197.06,22.97,21.82,31.6,26.78,1039.16,213.21,0,0,0,0,0,0
,DMHp,"Dorsomedial nucleus of the hypothalamus, posterior part",72600,44.87,26.5,76.57,54.82,15930.6,1665.32,16802.61,721.51,27.86,24.84,42.37,28.3,1555.05,398.72,0,0,0,0,0,0
,DMHv,"Dorsomedial nucleus of the hypothalamus, ventral part",72700,32.08,31.74,32.03,18.85,13877.69,1186.3,15373.08,2030.57,11.82,12.54,49.59,53.29,906.1,262.79,4.37,7.56,0,0,0,0
PrOR,MEPO,Median preoptic nucleus,72800,130.07,44.68,231.92,117.39,1840.58,553.92,2280.71,410.01,64.14,16.98,57.06,30.98,12.23,11.71,3.11,5.39,2.56,5.13,0,0
PrOR,MPO,Medial preoptic area,72900,104.81,69.68,131.52,58.9,2886.91,206.37,3329.19,251.44,76.51,10.64,114.99,27.06,149.01,20.98,3.37,2.92,0,0,0.48,0.83
,OV,Vascular organ of the lamina terminalis,73000,292.75,115.15,300.99,250.36,1175.84,462.02,1654.44,544.08,83.96,187.73,84.27,77.11,0,0,0,0,0,0,0,0
PrOR,PD,Posterodorsal preoptic nucleus,73100,0,0,0,0,16405.2,3901.9,6180.59,2626.63,0,0,624.65,536.61,995.46,960.06,0,0,0,0,0,0
,PS,Parastrial nucleus,73200,163.07,140.45,220.38,208.95,2916.69,627.73,3441.33,669.82,14.93,33.37,26.09,58.33,104.4,99.47,0,0,0,0,0,0
,PVp,"Periventricular hypothalamic nucleus, posterior part",73400,154.83,126.23,144.71,33.92,19085.2,1695.42,17875.84,4353.61,20.24,18.57,49.72,39.76,239.41,43.04,9.79,9.89,0,0,74.06,128.27
PrOR,PVpo,"Periventricular hypothalamic nucleus, preoptic part",73500,2805.42,654.08,2821.71,907.6,9042.37,1194.18,10504.13,773.31,69.28,44.04,84.73,39.13,842.62,218.94,31.41,24.89,0,0,3.24,5.61
,SBPV,Subparaventricular zone,73600,34.42,23.19,45.72,28.77,9450.87,927.34,11773.64,1441.19,21.8,23.82,45.53,57.82,614.99,142.98,3.42,5.92,0,0,0,0
,SCH,Suprachiasmatic nucleus,73700,378.73,189.42,405.62,351.14,5941.48,557.56,7282.19,1058.6,13370.11,2862.01,14127.21,2635.34,302.55,61,0,0,967.8,305.29,75.18,22.05
,SFO,Subfornical organ,73800,2323.3,1239.94,837.32,936.67,697.24,409.44,816.04,454.78,0,0,0,0,186.49,326.6,21.1,36.54,0,0,0,0
PrOR,VLPO,Ventrolateral preoptic nucleus,73900,50.36,81.92,66.56,66.19,1399.67,397.33,1381.76,338.48,72.55,90.17,73.3,91.51,34.58,40.49,0,0,15.18,30.36,0,0
,MEZ ,Hypothalamic medial zone,74000,922.36,387.79,1136.8,551.11,5140.94,390.68,5665.2,369.51,43.67,6.13,82.67,22.06,395.06,93.62,6.14,6.76,4.28,2.88,0.6,1.04
,AHN,Anterior hypothalamic nucleus,74100,370.22,54.19,389.86,106.54,7166.96,492.96,8011.73,558.71,9.77,7.06,44.94,47.43,660.17,153.8,0.58,1,0,0,0,0
,AHNa,"Anterior hypothalamic nucleus, anterior part",74200,219.99,38.83,239.52,115.33,6309.05,1184.79,7616.53,834.25,17.72,16.21,30.28,30.16,561.48,131.9,0,0,0,0,0,0
,AHNc,"Anterior hypothalamic nucleus, central part",74300,494.78,81.19,500.1,102.88,7019.18,486.17,7653.11,437.31,4.6,6.42,51.54,57.77,560.99,164.17,1.09,1.89,0,0,0,0
,AHNp,"Anterior hypothalamic nucleus, posterior part",74500,240.69,144.21,308.13,136,9170.26,454.93,9835.9,723.71,11.97,8.54,49.99,58.92,1150.2,291.79,0,0,0,0,0,0
MB,MBO,Mammillary body,74600,2977.51,1510.79,3747.5,2072.79,905.24,305.99,821.25,116.31,10.41,5.23,24.78,16.29,44.86,5.49,0.62,1.08,0,0,0,0
LHM,LM,Lateral mammillary nucleus,74700,4317,1714.21,5235.39,2410.24,1050.64,497.8,1262,463.14,13.69,18.75,6.78,15.15,27.77,22.91,0,0,0,0,0,0
,MM,Medial mammillary nucleus,74800,4376.58,2355.45,5523.36,3163.97,115.43,32.34,101.83,26.03,3.96,7.06,22.65,23.79,15.11,16.88,1.14,1.97,0,0,0,0
,Mmme,"Medial mammillary nucleus, median part",74900,2776.62,2163.18,3192.22,2000.78,31.06,69.44,0,0,15.23,34.05,0,0,0,0,0,0,0,0,0,0
SuM,SUM ,Supramammillary nucleus,75000,913.15,365.37,1125.57,610.74,1205.72,311.59,1273.28,180.24,17.02,19.92,25.57,13.05,77.97,29.78,0,0,0,0,0,0
,SUMl,"Supramammillary nucleus, lateral part",75100,991.56,475.84,1225.81,639.3,1149.83,340.17,1193.45,237.76,14.86,14.04,21.37,13.56,61.6,39.23,0,0,0,0,0,0
,SUMm,"Supramammillary nucleus, medial part",75200,722.15,321.47,888.86,566.08,1338.01,306.24,1458.3,88.57,22.05,39.22,35.18,20.09,116.69,43.21,0,0,0,0,0,0
TM,TM,Tuberomammillary nucleus,75300,202.03,118.85,240.33,186.14,6490.1,3454.85,4632.12,894.34,29.99,32.88,59.49,79.92,160.01,100.47,0,0,0,0,0,0
,TMd,"Tuberomammillary nucleus, dorsal part",75400,0,0,65.03,98.94,9322.44,4316.13,9348.03,1622.55,39.18,53.85,165.32,223.8,334.04,261.47,0,0,0,0,0,0
,TMv,"Tuberomammillary nucleus, ventral part",75500,308.21,183.04,333.69,246.88,4932.55,3564.5,2098.34,1079.25,23.98,53.62,0,0,62.27,63.21,0,0,0,0,0,0
PrOR,MPN,Medial preoptic nucleus,75600,6.66,4.71,4.16,6.4,3436.94,280.27,4680.19,496.74,175.68,71.99,446.39,134.9,240.69,24.74,6.02,5.98,0,0,0,0
,MPNc,"Medial preoptic nucleus, central part",75700,0,,0,0,2933.83,987.43,5291.5,1178.7,0,0,243.25,170.77,0,0,0,0,0,0,0,0
,MPNl,"Medial preoptic nucleus, lateral part",75800,6.32,8.66,0,0,2858.7,244.12,3849.86,340.83,288.89,128.32,622.94,233.49,227.12,45.98,4.86,8.42,0,0,0,0
,MPNm,"Medial preoptic nucleus, medial part",75900,7.69,7.03,5.22,7.18,3979,422.12,5440.16,841.79,99.96,56.85,347.14,78.02,276.71,30.52,3.84,6.66,0,0,0,0
,PMd,Dorsal premammillary nucleus,76000,753.94,365.15,1007.52,708.97,4558.75,932.19,4386.02,763.76,18.9,25.88,9.05,12.39,119.15,60.85,0,0,0,0,0,0
,PMv,Ventral premammillary nucleus,76100,40.82,30.4,75.32,60.37,14669.68,1521.12,14605.2,3543.21,3.99,8.92,18.79,12.35,517.07,151.48,0,0,0,0,0,0
,PVHd,"Paraventricular hypothalamic nucleus, descending division",76200,32.91,35.84,16.83,15.37,17222.84,1618.15,19399.5,739.22,12.24,16.77,41.75,40.76,752.81,292.3,17.91,15.51,0,0,0,0
,PVHdp,"Paraventricular hypothalamic nucleus, descending division, dorsal parvicellular part",76300,25.77,57.63,0,0,13759.09,2908.97,13704,483.62,54.95,75.24,81.95,117.7,1127.65,496.4,39.62,68.62,0,0,0,0
,PVHf,"Paraventricular hypothalamic nucleus, descending division, forniceal part",76400,0,0,0,0,7726.23,3125.33,9469.79,3356.14,0,0,103.63,141.9,758.39,935.94,0,0,0,0,0,0
,PVHlp,"Paraventricular hypothalamic nucleus, descending division, lateral parvicellular part",76500,39.17,40.96,29.77,27.19,22550.52,1758.99,25830.34,616.14,0,0,10.88,24.32,746.17,255.59,16.15,27.97,0,0,0,0
,PVHmpv,"Paraventricular hypothalamic nucleus, descending division, medial parvicellular part, ventral zone",76600,54.35,121.53,0,0,5396.66,2521.92,7282.76,2263.9,0,0,55.56,124.23,0,0,0,0,0,0,0,0
,VMH,Ventromedial hypothalamic nucleus,76700,16.8,7.08,16.78,13.64,7354.74,516.8,8346.59,1242.64,2.23,2.05,15.56,21.78,774.25,224.46,35.71,40.66,0,0,3.51,6.07
,VMHa,"Ventromedial hypothalamic nucleus, anterior part",76800,0,0,0,0,3657.54,740.16,3798.94,719.55,0,0,0,0,1120.94,751.3,0,0,0,0,0,0
,VMHc,"Ventromedial hypothalamic nucleus, central part",76900,17.85,21.43,27.68,27.28,4386.2,683.66,4703.66,986.04,2.68,5.99,5.13,11.46,701.28,212.68,0,0,0,0,0,0
,VMHdm,"Ventromedial hypothalamic nucleus, dorsomedial part",77000,21.3,23.09,9.25,13.86,6575.12,805.77,8070.91,1515.12,2.85,6.37,27.39,46.11,577.51,202.6,0,0,0,0,0,0
,VMHvl,"Ventromedial hypothalamic nucleus, ventrolateral part",77100,15.38,9.39,15.36,10.73,10199.78,437.52,11461.98,1740.69,1.83,4.08,17.56,18.94,902.01,286.03,84.34,95.92,0,0,8.39,14.53
PHA,PH,Posterior hypothalamic nucleus,77150,512.69,149.08,601.41,227.5,4632.24,921.07,4982.94,527.42,102.34,18.21,122.59,32.37,294.37,84.88,1.22,2.11,17.2,11.19,0.5,0.86
,LZ,Hypothalamic lateral zone,77200,1102,220.74,1153.17,420.5,6906.96,1151.98,8156.75,1070.46,24.27,12.43,33.61,14.99,375,121.42,5.02,4.21,1.16,1.4,5.91,9.78
LHA,LHA,Lateral hypothalamic area,77300,372.83,107.28,414.32,209.95,5587.97,1050.81,6645.28,982.48,11.68,3.42,20.34,15.77,439.14,148.81,6.21,4.57,0.49,0.38,0.13,0.23
